FILTROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;A2A31DF9C550FD8F3B1E604373D46709;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;35922;VERG CA50 8mm RT 12m 1t NV;;72142000;;1004200;07 - Material de Uso e Consumo;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;5760;0;2,17;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;C0586F9077BA15BA0AC67D16394EC0A8;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;52565;VERG CA50 10MM RT 12M 1T NV;SEM GTIN;72142000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1506,54;0;0,56;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;6D1B7942FF54F247B1A6D1DD814FAC4F;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;55491;AR REC BWG18 1,25MM RL 35KG;;72171090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;450;0;0,17;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;ABB4FE9490B0D82D516B18693A730BCA;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;87752;CHAPEU LA CAMEL ABA-9 AUSTRALIANO ELDORADO;BCSEM GTIN;65050090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;3356,5;0;1,25;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;357CF20FBDA7C4EEC6EC786598E646A1;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;77068;AR REC BWG18 1,25mm RL 35kg;BCSEM GTIN;72171090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1650;0;0,61;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;A20BA51079C09CCBBA4165E1C1EB8044;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;87752;CHAPEU LA CAMEL ABA-9 AUSTRALIANO ELDORADO;BCSEM GTIN;65050090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;2880;0;1,07;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;B4ADA9895A88E7227992889F46AAE0B7;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;87752;CHAPEU LA CAMEL ABA-9 AUSTRALIANO ELDORADO;BCSEM GTIN;65050090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;2550;0;0,95;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;8C8CF3280089B86B1F2BACC425741C78;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;87893;PREGO GERDAU C/C 19X36 POL;7897451462494;73170090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;899;0;0,33;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;31346694E87A82B6F92E23C5AEEC6CAA;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;87054;ELETRODO 46 2,50MM DS 13 STAR;BCSEM GTIN;83111000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1860;0;0,69;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;0E36F22A933AFF2BD605CC16CF61734F;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;70131;TUBO ESG 075 X 6MT;7898130450191;39172300;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;2667;0;0,99;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;DEA157F63A239AF08F82769EDF7D206B;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;85239;METALON 30X40 20 6 MTS (6 KG);BCSEM GTIN;73063000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1849,86;0;0,69;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;756E84EF4157912E39CAB5CE0FEF474F;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;70131;TUBO ESG 075 X 6MT;7898130450191;39172300;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1003,67;0;0,37;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;BBB377CEC4C4705769EC71A6984BB674;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;87217;COLUNA BRANCO PARATI LOGASA;BCSEM GTIN;69109000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1700;0;0,63;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;85AC14FDD54755E5F9033085D9514E52;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;88037;EMENDA MANG ENGATE RAPIDO ( 12X10MM ) PLASTICO - 5016681;BCSEM GTIN;74122000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;540;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;E9D826E3C5FF03CECBC22D3201584932;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;85295;FORRO PVC 08MT X 6MM BCO MAIS PVC;BCSEM GTIN;39162000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;5208;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;F079027E7A8B2CF30530FB9DDD5EDA1E;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;84881;ARREMATE FORRO TIPO U 6,00M MAIS PVC BAR;BCSEM GTIN;39162000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1400;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;AB8AAC161DDEE668C068B88C0D5EAF1A;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;85295;FORRO PVC 08MT X 6MM BCO MAIS PVC;BCSEM GTIN;39162000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;8288;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;6D7E96821DB9B20C309477845E7364B2;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;88180;BIT PHILIPS PH2 MAGNETICO COM LIMITADOR 25mm 0.100 PCTE;BCSEM GTIN;82055900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;10;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;C30E9A0BB2FA67EF2948C3611D942F59;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;87938;ARAME RECOZIDO RETORCIDO N 18 KG 1,24MM (FINO );BC7891222045879;72171090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;750;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;5D8648B9035F121587697F57E742AF4A;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;84881;ARREMATE FORRO TIPO U 6,00M MAIS PVC BAR;BCSEM GTIN;39162000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1855;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;005E16EF975C0BD434279E29EDFA7ED4;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;84881;ARREMATE FORRO TIPO U 6,00M MAIS PVC BAR;BCSEM GTIN;39162000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;2700;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;D58EBF7B7511EC4063DCAA68A8672FF4;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;84881;ARREMATE FORRO TIPO U 6,00M MAIS PVC BAR;BCSEM GTIN;39162000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;2250;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;F11E3B1D6BBE810C80819C58F68E7C98;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;79564;PARAFUSO SX M10 X 25 8.8 MB(1,25) RI;BCSEM GTIN;73181500;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;330;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;42E68507CC8E2EEE68417F2675C12A58;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;85295;FORRO PVC 08MT X 6MM BCO MAIS PVC;BCSEM GTIN;39162000;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;1183;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;8C949962AFCDFBF329EDB9B9D4C80B28;90CD59702F11A34EBD05C799001295BE;07329932000121;PA;55;15251110529344000146550010000004041227539557;404;1;00 - Documento Regular;0 - Entrada;45982;45982;1594;PJ;SIM;TUCUMA DRYWALL;84403;PERFIL U 100 X 38 X 3 X 6.000;BCSEM GTIN;72166190;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;686;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;4E885F142FD995AF8209379D24A66DEC;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);53647;BOMBA ANAUGER 650 220V;7892201605602;84138100;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;564,71;0;112,71;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;15A96E8D8F6726B38FD7A92920CF86AA;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87938;ARAME RECOZIDO RETORCIDO N 18 KG 1,24MM (FINO );BC7891222045879;72171090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;2235;0;446,1;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;0E46A2FCA67811780E860F9130DEE6A9;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87254;TASCHIBRA REFLETOR LED 200W 6500K PRETO;BCSEM GTIN;94054200;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;225,84;0;45,08;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;FA5DA045B3EE71E714819EFBB54823E8;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87254;TASCHIBRA REFLETOR LED 200W 6500K PRETO;BCSEM GTIN;94054200;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;741,16;0;147,93;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;A9B56C2C7CD8296BF323DB7810191A1F;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);35368;MADERITE 10MM 1.10X2.20MT;;44123900;;;07 - Material de Uso e Consumo;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;782,32;0;156,14;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;AE690277C88B157F5B476D18575A683F;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);70117;MANG FILTRO AR MB OM 355 1932/1934 100X100X280MM;BCSEM GTIN;40093100;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;52,95;0;10,57;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;5A991A416A0BC144AD2B55FBC9FBC8AC;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);70082;ARRUELA MANGA EIXO DNT CHEV 80/ F600;BCSEM GTIN;73182200;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;70,5;0;14,07;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;6304D18348598476F6392196C5840E01;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);70082;ARRUELA MANGA EIXO DNT CHEV 80/ F600;BCSEM GTIN;73182200;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;12;0;2,4;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;6D3611F5E9204B8DCFF048394FEED645;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87255;ATLAS BALDE P/CONCRETO 10LT PRETO;BCSEM GTIN;39269090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;56,48;0;11,27;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;C3E42E59F1F6385B0AF5E8F15A7BB7B0;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87255;ATLAS BALDE P/CONCRETO 10LT PRETO;BCSEM GTIN;39269090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;28,24;0;5,64;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;4A984C5B53528531A2AB68F651127437;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87255;ATLAS BALDE P/CONCRETO 10LT PRETO;BCSEM GTIN;39269090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;16,48;0;3,29;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;B28D2D8646ACCC82C43FB849D29B2584;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87255;ATLAS BALDE P/CONCRETO 10LT PRETO;BCSEM GTIN;39269090;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;28,24;0;5,64;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;C7BEA546EDE139C8E2F547972EF59CCA;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);87915;FITA ISOLANTE PRETA 19MM X 20 MT ADERE;BCSEM GTIN;39191020;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;120;0;23,95;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;18D6BD9804313BADD181C87FD231A5CF;1DEEE03CC7233B6A19697E697618A0CA;07329932000121;PA;55;15251112524415000143550010001151851080054324;115185;1;00 - Documento Regular;0 - Entrada;45988;45988;192;PJ;SIM;COMERCIAL RURAL XINGU LTDA (Tucuma);70130;TINTA SEMI BRILHO BR GELO 18LT VELOZ;BCSEM GTIN;32081020;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;2205,9;0;440,29;0;0;0;0;0;0;;;
