FILTROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1055 Registros;;;;;;;;;;;;;;;;;;;543251,3;0;2714,46;100503,5;;;440048,35;;7260,95000000001;440048,35;;33443,37;0;0;0;0;0;0;0;0 inconsistências;0 sugestões;
C170;09/2025-67903807000105;D6C574B21C9F596B7110C4266660337C;05B22BFDB7302A61AD0D25F65D750339;55;35250816914404000120550010003315451106251359;331545;1;00 - Documento Regular;0 - Entrada;45899;45901;FOR000001818;COMERCIAL COFIG DE ALIM E DESC LTDA;97898948130093;LEAO CHA ERVA DOCE 10X1,6G CX/30;09096290;;1102;520;220,42;;0;26,45;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;195,29;0,0165;3,22;195,29;0,076;14,84;;;;;;;;;;
C170;09/2025-67903807000105;D6C574B21C9F596B7110C4266660337C;823E1B5943DF801C5F09F27730BC6F80;55;35250816914404000120550010003315451106251359;331545;1;00 - Documento Regular;0 - Entrada;45899;45901;FOR000001818;COMERCIAL COFIG DE ALIM E DESC LTDA;2887;LEAO  PREMIUM CHA FUNCIONAIS RELAXA 10UN CX/12;21069010;;1102;020;114,44;;0;13,73;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;101,39;0,0165;1,67;101,39;0,076;7,71;;;;;;;;;;
C170;09/2025-67903807000105;CB293B0674AF557EFC040D3CDD6CDD32;0063C37DEEEC4A3CD6C3F9A15B35FCF4;55;27250912285276000142550100007225561341971317;722556;10;00 - Documento Regular;0 - Entrada;45919;45919;FOR000002903;SOCOCO S.A. INDUSTRIAS ALIMENTICIAS;0101101;LEITE COCO SOCOCO TRAD 24X200 ML VD;20098990;;2102;000;2340;;0;280,8;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;2059,2;0,0165;33,98;2059,2;0,076;156,5;;;;;;;;;;
C170;09/2025-67903807000105;CB293B0674AF557EFC040D3CDD6CDD32;2AB48D3EE1FEA6299D3E8EF7CC7CA38B;55;27250912285276000142550100007225561341971317;722556;10;00 - Documento Regular;0 - Entrada;45919;45919;FOR000002903;SOCOCO S.A. INDUSTRIAS ALIMENTICIAS;0101150;LEITE COCO SOCOCO RTC 24X200 ML VD;20098990;;2102;000;1713,6;;0;205,63;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;1507,97;0,0165;24,88;1507,97;0,076;114,61;;;;;;;;;;
C170;09/2025-67903807000105;CB293B0674AF557EFC040D3CDD6CDD32;0472EFDCF2656BFAF72606EA23375BFB;55;27250912285276000142550100007225561341971317;722556;10;00 - Documento Regular;0 - Entrada;45919;45919;FOR000002903;SOCOCO S.A. INDUSTRIAS ALIMENTICIAS;0101181;LEITE COCO SOCOCO LIGHT 24X200 ML VD;20098990;;2102;000;1441,6;;0;172,99;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;1268,61;0,0165;20,93;1268,61;0,076;96,41;;;;;;;;;;
C170;09/2025-67903807000105;CB293B0674AF557EFC040D3CDD6CDD32;7C28DE5B75EA532B8A1A079F41BD59B7;55;27250912285276000142550100007225561341971317;722556;10;00 - Documento Regular;0 - Entrada;45919;45919;FOR000002903;SOCOCO S.A. INDUSTRIAS ALIMENTICIAS;0125403;COCADA-DOCE DE COCO BRANCO SOCOCO 12X335 G;20079990;;2102;000;110;;0;13,2;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;96,8;0,0165;1,6;96,8;0,076;7,36;;;;;;;;;;
C170;09/2025-67903807000105;CB293B0674AF557EFC040D3CDD6CDD32;F86802E29A5EA1A128001BF6278B27AC;55;27250912285276000142550100007225561341971317;722556;10;00 - Documento Regular;0 - Entrada;45919;45919;FOR000002903;SOCOCO S.A. INDUSTRIAS ALIMENTICIAS;0125406;COCADA-DOCE DE COCO QUEIMADO SOCOCO 12X335 G;20079990;;2102;000;110;;0;13,2;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;96,8;0,0165;1,6;96,8;0,076;7,36;;;;;;;;;;
C170;09/2025-67903807000105;212B60FA45F9F48697FD3738A848964C;B24C1598B4F10B67A4569BF20B12AA32;55;31250904476996000167550010003357131403106743;335713;1;00 - Documento Regular;0 - Entrada;45910;45911;FOR000002287;TOZZI IND COM ALIMENTOS LTDA;46490;CHAMPIGNON INT, SACHE POUCHE 80 GRS TOZZI CX 24X1;20031000;;2102;500;91,68;;0;11;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;80,68;0,0165;1,33;80,68;0,076;6,13;;;;;;;;;;
C170;09/2025-67903807000105;212B60FA45F9F48697FD3738A848964C;FD311CF66B3A4906E09945CEC74AC536;55;31250904476996000167550010003357131403106743;335713;1;00 - Documento Regular;0 - Entrada;45910;45911;FOR000002287;TOZZI IND COM ALIMENTOS LTDA;44611;CHAMPIGNON FATIADO,PT 100 GRS TOZZI CX 12X1;20031000;;2102;500;80,28;;0;9,63;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;70,65;0,0165;1,17;70,65;0,076;5,37;;;;;;;;;;
C170;09/2025-67903807000105;212B60FA45F9F48697FD3738A848964C;5DEDB3EAB3A936037813CAA19BF8309A;55;31250904476996000167550010003357131403106743;335713;1;00 - Documento Regular;0 - Entrada;45910;45911;FOR000002287;TOZZI IND COM ALIMENTOS LTDA;52169;DOCE DE LEITE LATA 400 GRS TOZZI 12X1;19019020;;2102;000;160,51;;0;19,26;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;141,25;0,0165;2,33;141,25;0,076;10,74;;;;;;;;;;
C170;09/2025-67903807000105;BE049A930AC77C1A339165E24D8E5F24;1B47BEC6ED760ECED00D2410068AB641;55;31250907757005000102550010001337891933787608;133789;1;00 - Documento Regular;0 - Entrada;45911;45911;FOR000002662;LATICINIOS VERDE CAMPO S.A.;80.801.0001;QUEIJO COTTAGE LACFREE VC 200G CX 12;04069090;;2102;000;122,17;;0;14,66;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;107,51;0,0165;1,77;107,51;0,076;8,17;;;;;;;;;;
C170;09/2025-67903807000105;BE049A930AC77C1A339165E24D8E5F24;9802FF7D6CB891E69B0C837A4FED6CED;55;31250907757005000102550010001337891933787608;133789;1;00 - Documento Regular;0 - Entrada;45911;45911;FOR000002662;LATICINIOS VERDE CAMPO S.A.;97898948148281;QUEIJO COTTAGE TRAD VC 200G CX 12;04069090;;2102;000;105,56;;0;12,67;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;92,89;0,0165;1,53;92,89;0,076;7,06;;;;;;;;;;
C170;09/2025-67903807000105;BE049A930AC77C1A339165E24D8E5F24;FB16A634CD7C1E822E4F2474257C04AE;55;31250907757005000102550010001337891933787608;133789;1;00 - Documento Regular;0 - Entrada;45911;45911;FOR000002662;LATICINIOS VERDE CAMPO S.A.;80.801.0002;QUEIJO COTTAGE LACFREE VC 400G CX 12;04069090;;2102;000;219,55;;0;26,35;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;193,2;0,0165;3,19;193,2;0,076;14,68;;;;;;;;;;
C170;09/2025-67903807000105;BE049A930AC77C1A339165E24D8E5F24;DC7D86CC667B4BD82660A03651330ABF;55;31250907757005000102550010001337891933787608;133789;1;00 - Documento Regular;0 - Entrada;45911;45911;FOR000002662;LATICINIOS VERDE CAMPO S.A.;80.801.0004;QUEIJO COTTAGE TRAD VC 400G CX 12;04069090;;2102;000;187,85;;0;22,54;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;165,31;0,0165;2,73;165,31;0,076;12,56;;;;;;;;;;
C170;09/2025-67903807000105;1C1B13F610FCB6C0F32040EF7B2FAFD4;6BF6A5803C03D02E7EDD3ACC6C8CAB39;55;31250907757005000102550010001391401672418780;139140;1;00 - Documento Regular;0 - Entrada;45920;45920;FOR000002662;LATICINIOS VERDE CAMPO S.A.;80.801.0001;QUEIJO COTTAGE LACFREE VC 200G CX 12;04069090;;2102;000;122,17;;0;14,66;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;107,51;0,0165;1,77;107,51;0,076;8,17;;;;;;;;;;
C170;09/2025-67903807000105;1C1B13F610FCB6C0F32040EF7B2FAFD4;920211A4FEA633C6A1AD16AC3822DBA5;55;31250907757005000102550010001391401672418780;139140;1;00 - Documento Regular;0 - Entrada;45920;45920;FOR000002662;LATICINIOS VERDE CAMPO S.A.;80.801.0002;QUEIJO COTTAGE LACFREE VC 400G CX 12;04069090;;2102;000;219,55;;0;26,35;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;193,2;0,0165;3,19;193,2;0,076;14,68;;;;;;;;;;
C170;09/2025-67903807000105;1C1B13F610FCB6C0F32040EF7B2FAFD4;AC325DE7563B617AFAB3CBFA6033EB38;55;31250907757005000102550010001391401672418780;139140;1;00 - Documento Regular;0 - Entrada;45920;45920;FOR000002662;LATICINIOS VERDE CAMPO S.A.;97898948148281;QUEIJO COTTAGE TRAD VC 200G CX 12;04069090;;2102;000;105,56;;0;12,67;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;92,89;0,0165;1,53;92,89;0,076;7,06;;;;;;;;;;
C170;09/2025-67903807000105;1C1B13F610FCB6C0F32040EF7B2FAFD4;7C908AB24C87F585A10C34D821400611;55;31250907757005000102550010001391401672418780;139140;1;00 - Documento Regular;0 - Entrada;45920;45920;FOR000002662;LATICINIOS VERDE CAMPO S.A.;80.801.0004;QUEIJO COTTAGE TRAD VC 400G CX 12;04069090;;2102;000;187,85;;0;22,54;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;165,31;0,0165;2,73;165,31;0,076;12,56;;;;;;;;;;
C170;09/2025-67903807000105;7888B940BD65B8B8B1AC765B53F4F17F;484347543A3A6AAC2A1E9625F0018A0F;55;31250922021760000118550030000041081007901213;4108;3;00 - Documento Regular;0 - Entrada;45912;45916;FOR000000008;LATICINIOS ITERERE LTDA;97898948130799;QJO COTTAGE 250;04061090;;2102;000;102;;0;12,24;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;89,76;0,0165;1,48;89,76;0,076;6,82;;;;;;;;;;
C170;09/2025-67903807000105;7E1F10E4D5ECAC4668176B23A827AF2E;C24C3172A3B04DBAB73BAF527D9BAB69;55;31250922310186000118550010002367451804101473;236745;1;00 - Documento Regular;0 - Entrada;45901;45901;FOR000002078;VIDA VEG LTDA;97898948125308;REQUEIJAO VIDA VEG TRADICIONAL 180GRX12 CX - Cx. 1;21069090;;2102;000;119,76;;0;14,37;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;105,39;0,0165;1,74;105,39;0,076;8,01;;;;;;;;;;
C170;09/2025-67903807000105;7E1F10E4D5ECAC4668176B23A827AF2E;BECA3199E628AE7F596F47A57E2DE031;55;31250922310186000118550010002367451804101473;236745;1;00 - Documento Regular;0 - Entrada;45901;45901;FOR000002078;VIDA VEG LTDA;97898948125318;MANTEIGA VIDA VEG 170GRX12 - Cx. 1;21069090;;2102;000;141,36;;0;16,96;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;124,4;0,0165;2,05;124,4;0,076;9,45;;;;;;;;;;
C170;09/2025-67903807000105;7E1F10E4D5ECAC4668176B23A827AF2E;F07D85130F9D78C2E3EE9468718A4EBF;55;31250922310186000118550010002367451804101473;236745;1;00 - Documento Regular;0 - Entrada;45901;45901;FOR000002078;VIDA VEG LTDA;97898948134632;MANTEIGA TABLETE DE CASTANHA DE CAJU VIDA VEG - Cx. 1;21069090;;2102;000;141,36;;0;16,96;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;124,4;0,0165;2,05;124,4;0,076;9,45;;;;;;;;;;
C170;09/2025-67903807000105;7E1F10E4D5ECAC4668176B23A827AF2E;7027D2C17E53A8B2487DB0CDDF9C1735;55;31250922310186000118550010002367451804101473;236745;1;00 - Documento Regular;0 - Entrada;45901;45901;FOR000002078;VIDA VEG LTDA;97898948128723;QUEIJO VIDA VEG DE CASTANHA DE CAJU PARMESAO RALADO 50GRX36 - Cx. 1;21069090;;2102;000;226,08;;0;27,13;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;198,95;0,0165;3,28;198,95;0,076;15,12;;;;;;;;;;
C170;09/2025-67903807000105;7FDA3E9E7B59710520C1BEA9F5114F9D;3ABA4BB092AD8096DF7B229D2E8AD9DF;55;31250922310186000118550010002367461697339398;236746;1;00 - Documento Regular;0 - Entrada;45901;45901;FOR000002078;VIDA VEG LTDA;97898948278520;PROTEINA CULINARIA DESFIADA VIDA VEG 230GX12 - Cx. 1;21069090;;2102;000;189,36;;0;22,72;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;166,64;0,0165;2,75;166,64;0,076;12,66;;;;;;;;;;
C170;09/2025-67903807000105;9E4DC1ED960272A1D3D97A2A2FD81DAF;1466FDD1ED8E7CD6B7CFE4A8D7DBB782;55;31250922310186000118550010002378441817145795;237844;1;00 - Documento Regular;0 - Entrada;45908;45908;FOR000002078;VIDA VEG LTDA;97898948134632;MANTEIGA TABLETE DE CASTANHA DE CAJU VIDA VEG - Cx. 1;21069090;;2102;000;141,36;;0;16,96;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;124,4;0,0165;2,05;124,4;0,076;9,45;;;;;;;;;;
C170;09/2025-67903807000105;9E4DC1ED960272A1D3D97A2A2FD81DAF;55826D17FD574F0D04935CCCAA62B5C5;55;31250922310186000118550010002378441817145795;237844;1;00 - Documento Regular;0 - Entrada;45908;45908;FOR000002078;VIDA VEG LTDA;97898948126741;MOUSSE DE CHOCOLATE VEGANO VIDA VEG 200GRX12 - Cx. 1;21069090;;2102;000;269,28;;26,93;29,08;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;213,27;0,0165;3,52;213,27;0,076;16,21;;;;;;;;;;
